City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,14.34,79,27,1.79,NZ,1738817759
1,freetown,8.484,-13.2299,25.84,78,40,2.06,SL,1738817760
2,perryville,37.7242,-89.8612,6.62,100,100,1.54,US,1738817762
3,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,47,75,4.0,RU,1738817763
4,ust'-kulom,61.6864,53.6902,-19.76,100,74,1.12,RU,1738817764
5,bethel,41.3712,-73.414,-4.69,60,0,0.89,US,1738817765
6,hobyo,5.3505,48.5268,25.31,74,18,7.25,SO,1738817766
7,nanao,37.05,136.9667,0.39,69,100,7.98,JP,1738817767
8,ashtabula,41.7001,-80.7665,-2.07,70,100,2.57,US,1738817768
9,blackmans bay,-43.0167,147.3167,24.18,49,93,5.54,AU,1738817770
10,zakynthos,37.7914,20.8953,9.9,70,0,2.7,GR,1738817771
11,grytviken,-54.2811,-36.5092,1.7,87,59,4.69,GS,1738817772
12,bredasdorp,-34.5322,20.0403,18.22,52,98,2.75,ZA,1738817773
13,dalbandin,28.8947,64.4101,11.45,23,1,3.51,PK,1738817774
14,prince rupert,54.3161,-130.3201,1.83,61,0,5.14,CA,1738817802
15,tiksi,71.6872,128.8694,-29.76,97,99,3.08,RU,1738817803
16,shimanovsk,52.0,127.7,-9.23,76,100,7.58,RU,1738817804
17,genhe,50.7833,121.5167,-17.97,87,100,3.5,CN,1738817805
18,iqaluit,63.7506,-68.5145,-30.15,69,20,2.06,CA,1738817806
19,sinabang,2.4803,96.3801,29.52,69,87,1.21,ID,1738817808
20,puerto natales,-51.7236,-72.4875,6.04,95,98,0.53,CL,1738817809
21,port-aux-francais,-49.35,70.2167,7.22,97,97,11.81,TF,1738817810
22,northam,51.0333,-4.2167,1.0,97,0,0.45,GB,1738817811
23,montepuez,-13.1256,38.9997,21.59,98,100,1.86,MZ,1738817812
24,ushuaia,-54.8,-68.3,8.81,76,0,2.57,AR,1738817813
25,loudi,27.7344,111.9944,5.1,91,100,2.59,CN,1738817815
26,demopolis,32.5176,-87.8364,18.97,88,0,2.57,US,1738817701
27,udachny,66.4167,112.4,-17.99,95,100,2.76,RU,1738817817
28,port mathurin,-19.6833,63.4167,27.45,77,14,3.69,MU,1738817818
29,susuman,62.7833,148.1667,-35.12,93,42,0.31,RU,1738817819
30,kanggye,40.9695,126.5852,-9.13,63,98,1.59,KP,1738817820
31,talnakh,69.4865,88.3972,-24.65,100,97,3.31,RU,1738817821
32,qaqortoq,60.7167,-46.0333,-23.45,75,12,3.82,GL,1738817823
33,longjiang,47.3303,123.1836,-15.22,72,74,4.17,CN,1738817824
34,sorel-tracy,46.0334,-73.1159,-15.06,97,18,2.93,CA,1738817825
35,edinburgh of the seven seas,-37.0676,-12.3116,19.05,94,87,13.01,SH,1738817826
